pose_id,feature_id,number_of_measurements,x,y,z,x_global,y_global,z_global
3,183,2,-0.0445,2.6893,2.4840,4.4870,0.9624,2.5061
3,184,2,4.2384,-1.5488,2.4078,7.3813,6.2460,2.3771
3,185,2,3.2700,4.9128,2.0572,1.4434,3.5262,1.9810
3,189,2,2.5224,-1.0724,2.7535,7.3907,4.4720,2.7566
3,190,2,0.0474,2.3871,-1.0568,4.8098,1.0671,-1.0325
3,193,2,-0.7208,-2.3508,-1.0944,9.5760,1.6351,-1.0031
3,194,2,3.0811,-6.3095,1.5612,12.2898,6.4310,1.6069
3,198,2,0.7433,2.8008,-0.7506,4.2154,1.6275,-0.7465
3,199,2,5.7256,-2.4889,2.6974,7.8704,7.9400,2.6427
3,200,3,2.1321,4.5693,2.3481,2.0823,2.5330,2.3011
3,208,2,0.8967,2.7724,0.4995,4.1801,1.8065,0.5000
3,209,2,0.6121,-4.7868,0.3027,11.5272,3.6144,0.3889
3,210,3,0.7648,0.0550,2.7646,6.7912,2.4721,2.7958
3,213,3,2.2214,1.2891,2.7353,5.2042,3.5309,2.7206
3,215,2,4.0816,-0.0315,2.3133,5.9678,5.6749,2.2703
3,220,2,0.2967,1.5261,1.9446,5.5197,1.6009,1.9713
3,223,2,-1.1440,2.1622,1.9367,5.3055,0.0408,1.9894
3,225,2,2.9945,-0.7061,-0.4585,6.9609,4.7638,-0.4689
3,228,2,1.1981,-2.5414,1.0820,9.1948,3.5729,1.1311
3,229,2,5.6995,-4.7385,1.2143,10.0640,8.5074,1.1842
3,232,3,2.8398,4.6511,2.1061,1.8127,3.1859,2.0423
3,233,2,-1.8467,2.2984,-0.8926,5.4144,-0.7256,-0.8245
3,235,2,3.6862,4.5685,2.1724,1.6577,4.0234,2.0903
3,238,2,-2.0959,-1.4521,0.1087,9.0715,0.0885,0.2214
3,239,2,1.8383,-1.2020,3.0023,7.6997,3.8550,3.0222
3,240,2,1.5040,-0.1290,-1.3386,6.8313,3.1556,-1.3209
3,243,2,2.3331,1.2505,2.7617,5.2101,3.6495,2.7448
3,245,3,5.4069,1.7639,0.1803,3.9118,6.4129,0.0891
3,247,2,2.9512,1.9774,2.1297,4.3514,4.0309,2.0913
3,248,2,2.2133,1.5652,2.8348,4.9394,3.4489,2.8173
3,249,2,4.1438,-5.9342,-0.7727,11.6744,7.3046,-0.7543
3,253,3,-2.4632,0.6587,2.2018,7.1097,-0.8072,2.3001
3,254,2,2.2239,-6.3752,1.4377,12.5912,5.6230,1.5035
3,255,2,0.5501,3.9606,-0.7489,3.1539,1.1220,-0.7526
3,258,2,1.3888,2.5128,0.8067,4.2890,2.3567,0.7986
3,259,2,3.6738,-6.5169,2.9607,12.3030,7.0843,2.9947
3,260,2,0.2584,1.9767,2.5615,5.0871,1.4515,2.5841
3,262,2,-2.1521,3.7848,0.0304,4.0548,-1.4117,0.0896
3,263,3,2.2686,-1.3516,0.8038,7.7608,4.2682,0.8162
3,269,2,2.8683,-6.2070,1.4528,12.2517,6.1962,1.5022
3,270,2,4.4838,-0.2705,-0.2523,6.1285,6.0788,-0.3011
3,273,2,-2.4109,1.3262,2.3451,6.4515,-0.9384,2.4352
3,278,3,-2.7141,-0.6195,0.3047,8.4383,-0.7316,0.4227
3,279,2,0.1931,-4.0953,2.6593,10.9396,3.0655,2.7469
3,280,3,2.8487,4.5589,1.6841,1.9057,3.2120,1.6212
3,283,2,1.4081,-2.4017,1.0029,9.0040,3.7347,1.0458
3,284,2,0.9731,-1.8992,2.4029,8.6180,3.2046,2.4499
3,288,2,-1.9287,-2.1094,2.3100,9.6212,0.4720,2.4252
3,289,2,2.5402,-1.2977,2.8170,7.6013,4.5525,2.8220
3,292,3,2.6542,4.8297,2.3309,1.6885,2.9626,2.2694
3,293,2,0.9777,-2.7438,-0.5775,9.4772,3.3855,-0.5208
3,295,3,3.6003,4.6902,-1.3022,1.6212,3.8416,-1.3826
