pose_id,feature_id,x,y,z,sigma_x,sigma_y,sigma_z
2,48,-3.6786,1.7582,-1.1152,0.0030,0.0030,0.0030
2,51,-1.6852,-2.6159,1.2356,0.0030,0.0030,0.0030
2,52,-1.3307,2.4468,0.2647,0.0030,0.0030,0.0030
2,53,0.3405,4.8965,2.8676,0.0030,0.0030,0.0030
2,55,-4.1165,-2.5748,0.0499,0.0030,0.0030,0.0030
2,56,1.2261,-5.8000,3.0421,0.0030,0.0030,0.0030
2,57,-2.5111,0.9791,-0.7480,0.0030,0.0030,0.0030
2,61,1.5954,-5.4283,-0.1645,0.0030,0.0030,0.0030
2,62,1.3555,2.3427,0.8399,0.0030,0.0030,0.0030
2,66,-0.6250,-4.7610,2.8401,0.0030,0.0030,0.0030
2,67,1.6052,-2.0158,-0.8112,0.0030,0.0030,0.0030
2,68,-3.3068,0.5137,1.0847,0.0030,0.0030,0.0030
2,70,-2.2876,2.2196,2.8224,0.0030,0.0030,0.0030
2,72,-0.6386,-2.4448,0.8751,0.0030,0.0030,0.0030
2,73,-2.9397,0.4689,0.3134,0.0030,0.0030,0.0030
2,75,-4.9217,-0.1227,2.6666,0.0030,0.0030,0.0030
2,77,-1.7723,2.1872,1.8427,0.0030,0.0030,0.0030
2,80,0.2059,0.6531,2.6435,0.0030,0.0030,0.0030
2,81,0.7787,-5.7325,-0.2496,0.0030,0.0030,0.0030
2,82,-0.3999,-2.4950,1.2670,0.0030,0.0030,0.0030
2,91,3.9504,-2.0747,1.9686,0.0030,0.0030,0.0030
2,92,-1.0288,2.5341,0.2165,0.0030,0.0030,0.0030
2,95,-1.8751,1.8654,2.3748,0.0030,0.0030,0.0030
2,97,2.3351,-0.9953,2.7191,0.0030,0.0030,0.0030
2,98,0.6023,4.6781,2.7949,0.0030,0.0030,0.0030
2,100,-3.1441,1.6255,2.1729,0.0030,0.0030,0.0030
2,101,2.8540,-1.1450,2.7972,0.0030,0.0030,0.0030
2,105,-4.6988,0.7951,2.9116,0.0030,0.0030,0.0030
2,107,-2.7607,0.1854,2.8650,0.0030,0.0030,0.0030
2,110,-1.4084,-3.2253,0.8194,0.0030,0.0030,0.0030
2,112,-1.4411,1.9819,-1.1509,0.0030,0.0030,0.0030
2,115,-0.0833,0.3904,-0.9859,0.0030,0.0030,0.0030
2,117,-1.8996,1.6931,1.9507,0.0030,0.0030,0.0030
2,121,3.9038,-3.2533,-0.9018,0.0030,0.0030,0.0030
2,122,0.4982,-2.7992,0.7972,0.0030,0.0030,0.0030
2,123,-2.9634,4.5176,2.2084,0.0030,0.0030,0.0030
2,126,2.9612,-0.8940,0.8160,0.0030,0.0030,0.0030
2,127,2.2368,1.4160,-0.2424,0.0030,0.0030,0.0030
2,128,0.5464,4.2459,2.7945,0.0030,0.0030,0.0030
2,130,-4.8276,0.5394,2.2749,0.0030,0.0030,0.0030
2,136,-1.4707,-3.6858,3.0296,0.0030,0.0030,0.0030
2,137,-2.7042,-0.9814,0.6219,0.0030,0.0030,0.0030
2,142,-1.5326,2.5052,2.4644,0.0030,0.0030,0.0030
2,145,0.0225,0.1755,1.4038,0.0030,0.0030,0.0030
2,147,2.4874,-0.9833,-0.7889,0.0030,0.0030,0.0030
2,152,-0.0358,2.9001,-0.3477,0.0030,0.0030,0.0030
2,153,-1.3962,5.2990,-0.4977,0.0030,0.0030,0.0030
2,155,0.4967,-1.6596,-0.1742,0.0030,0.0030,0.0030
2,158,-4.1599,3.0826,2.1069,0.0030,0.0030,0.0030
2,161,-0.8001,-1.3519,2.8901,0.0030,0.0030,0.0030
2,162,2.8713,0.6759,1.1372,0.0030,0.0030,0.0030
2,165,-3.2395,1.8882,0.5159,0.0030,0.0030,0.0030
2,166,0.2522,-0.2314,1.2131,0.0030,0.0030,0.0030
2,170,-4.1056,1.1422,2.7885,0.0030,0.0030,0.0030
2,171,1.8130,-5.4905,-0.4521,0.0030,0.0030,0.0030
2,172,1.5698,2.0680,2.7736,0.0030,0.0030,0.0030
2,175,-4.3861,0.9761,2.0843,0.0030,0.0030,0.0030
2,177,1.9347,1.9550,2.8306,0.0030,0.0030,0.0030
2,180,0.5102,0.1353,1.4272,0.0030,0.0030,0.0030
2,182,0.3989,-2.8020,2.2603,0.0030,0.0030,0.0030
2,186,-1.7080,-2.8126,1.1587,0.0030,0.0030,0.0030
2,187,-0.5270,2.8483,2.3093,0.0030,0.0030,0.0030
2,192,2.2795,-1.6265,0.9914,0.0030,0.0030,0.0030
2,193,-2.0548,4.9601,-0.9411,0.0030,0.0030,0.0030
2,195,-4.7678,-2.2963,3.0019,0.0030,0.0030,0.0030
2,196,-0.5720,-0.6714,3.0227,0.0030,0.0030,0.0030
2,197,2.6323,0.5629,1.1546,0.0030,0.0030,0.0030
2,200,-0.3417,-2.3522,2.4510,0.0030,0.0030,0.0030
2,202,-2.3719,0.7781,0.0755,0.0030,0.0030,0.0030
2,205,-4.1923,-2.6638,-0.4563,0.0030,0.0030,0.0030
2,210,-1.8886,2.1066,2.8867,0.0030,0.0030,0.0030
2,211,3.7045,-4.1756,3.0550,0.0030,0.0030,0.0030
2,212,2.9442,0.1241,1.1424,0.0030,0.0030,0.0030
2,213,-2.3500,0.2490,2.8285,0.0030,0.0030,0.0030
2,217,-1.4697,-2.5222,1.9122,0.0030,0.0030,0.0030
2,221,-0.4309,-4.7707,2.3314,0.0030,0.0030,0.0030
2,222,2.5120,-1.5110,-0.8905,0.0030,0.0030,0.0030
2,223,0.8925,1.5326,2.0858,0.0030,0.0030,0.0030
2,226,-1.4427,-4.0657,3.0903,0.0030,0.0030,0.0030
2,227,1.9070,-1.5670,0.8003,0.0030,0.0030,0.0030
2,228,-3.7520,3.9634,1.2024,0.0030,0.0030,0.0030
2,230,-0.5486,-3.0441,0.8766,0.0030,0.0030,0.0030
2,231,0.5550,-0.1816,1.6782,0.0030,0.0030,0.0030
2,232,-0.8661,-2.8329,2.2048,0.0030,0.0030,0.0030
2,233,1.5881,1.8517,-0.7291,0.0030,0.0030,0.0030
2,237,1.3338,-2.1090,-1.2615,0.0030,0.0030,0.0030
